id,text,offensive_substrings,offensive_sequences
10913,"sa ma sugeti de pula, daca nu intelegeti cuvantul felatie. am vrut sa zic: MULTA MUUUIIEE STELEI SI VOUA, BOILOR SUGATORI DE MACIUCA SI MANCATORI DE KAKAT!","['sa ma sugeti de pula', 'felatie', 'MULTA MUUUIIEE STELEI SI VOUA, BOILOR SUGATORI DE MACIUCA SI MANCATORI DE KAKAT']","[(0, 20), (50, 57), (75, 154)]"
24110,"nea mititelu d c nu ai spus tot
 la PASTELE OILOR(SAU AL BERBECILOR DIN GHENCEA)
 :D
 sunt toti in turma
 c zice ciobanu ei o iau de buna
 daca ciobanu a zis ca cfr sunt unguri ei au behait toti in cor
 trebuie sa le mai dea sa s.u.g.a. si se pot culca","['sa le mai dea sa s.u.g.a.', 'sunt toti in turma', 'ciobanu', 'au behait toti in cor', 'ciobanu']","[(89, 107), (117, 124), (117, 124), (149, 156), (149, 156), (185, 206), (217, 242)]"
43824,adunatura de retarzi cu titlurile voastre...nu ma...nu exista gol mai frumos...asta ii tata lor...cu siguranta o sa faca inconjurul lumii pana maine,['adunatura de retarzi'],"[(0, 20)]"
40788,"bine zici 981 ar trebuii ardealu sa se autoproclame stat independent si sa va lase pe voi tiganii si miticii in cacat ca ardealu va tine in viata, voi nu vedeti ca toate echipele din buc. au tras tunuri in etapa asta cu arbitrii,ar fii ideal sa vedem un campionat intre olteni desculti si moldoveni fomisti ha ha ha sus ardealu care nu are nevoie de balcanici","['sa va lase pe voi tiganii si miticii in cacat', 'olteni desculti', 'moldoveni fomisti']","[(72, 117), (270, 285), (289, 306)]"
25331,"Comentatzii bulangiilor ptr un suporter da cand o sa vedem si un rapan si un incult de jandarm sa fie condamnat?oare cand ,nu prea curand asa k k nu va mai datzi voi cu parerea..Ultras&Steaua4ever","['bulangiilor', 'un rapan si un incult de jandarm']","[(12, 23), (62, 94)]"
8999,"Cat mai dureaza pana scapam de ""genialul"" Lacatus? Un antrenor sclipitor pt care 1-0 e un scor f bun de bagat echipa cu curul in poarta . Oara faptul ca a fost simbolul Stelei ii anuleaza automat toate ratarile ca antrenor ? Sa plece cretinul asta mai repede sau nu mai pupam titlu in veci!","['""genialul""', 'Un antrenor sclipitor', 'scor f bun de bagat echipa cu curul in poarta', 'cretinul']","[(31, 41), (51, 72), (90, 135), (234, 242)]"
24444,"Mi-e sila de toti cand vad cum il pupa in cur pe ciorel asta. Vai saracul de el! Ce sa spun! E un jucator care joaca prost, si care de cand au venit strainii in Ghencea se simte foarte complexat. Eu il vreau afara de la Steaua si de la echipa nationala, si nu pentru ca e cioara, ci pentru ca n-are nici o treaba cu fotbalul.","['Mi-e sila de toti', 'il pupa in cur pe ciorel asta', 'cioara']","[(0, 17), (31, 60), (272, 278)]"
44286,Daca esti idiot nu arunca cu banii pe fereastra. Permisu se da pe stiinta nu pe huliganism anlfabetule. Stupid Idiot,"['idiot', 'anlfabetule', 'Stupid Idiot']","[(10, 15), (91, 102), (104, 116)]"
22319,"BAh HANDEL BABAN,iar debitezi idiotzenii?Chiar nu vezi cat de ridicol esti?Te pune UNGURU` ala MALASTROP sa dai din pupatoare la comanda!Ce istorie aveti voi,ce palmares?O sa vezi GODACULE ca nici locu` 2 nu`l mai prindeti!Sa aduca UNGURU` ala MALASTROP totzi masonii,francmasonii si pe MA_SA ca o luatzi in freza!","['debitezi idiotzenii', 'nu vezi cat de ridicol esti', 'Te pune UNGURU` ala MALASTROP sa dai din pupatoare', 'GODACULE', 'o luatzi in freza', 'Sa aduca UNGURU` ala MALASTROP totzi masonii,francmasonii si pe MA_SA']","[(21, 40), (47, 74), (75, 125), (180, 188), (223, 292), (296, 313)]"
14482,TU te n gura de stelist impu tit!! Ai luat 500.000 de para de la Ciobanu' dement si acu' te dai justitiar!!!? Tudore sa dea D-zeu sa-ti cumperi luminari de toti banii primiti de la Gigi + baremul donat! Javra stelista impu tita!!,"['te n gura de stelist impu tit', ""Ciobanu' dement"", 'sa dea D-zeu sa-ti cumperi luminari de toti banii', 'Javra stelista impu tita']","[(3, 32), (65, 80), (117, 166), (203, 227)]"
13283,"pa tine ar trebui sa te sanctioneze cu un miliard de euro,berbec imputit,si sa te vare la puscarie,cioban mizerabil ce esti.Sigur ai cumparat arbitri si comisia ca sa castigi meciul cu rapidul,vazand cum il pierzi,sigur a fost un stelist care a aruncat bricheta.impuscat ai merita,berbec.","['berbec imputit', 'sa te vare la puscarie,cioban mizerabil ce esti', 'impuscat ai merita,berbec']","[(58, 72), (76, 123), (262, 287)]"
25893,"Clar nu s-a arbitrat cu aceleai unitati de masura, pe javre ii lasa sa joace dur pe cand noi eram fluierati la fiecare contact. Ce dracu il pune tot pe idiotul asta sa ne arbitreze ca de fiecare data ne-a ciupit. Totusi cele mai mari erori le-au facut tusierii.","['javre', 'Ce dracu il pune tot pe idiotul asta']","[(54, 59), (128, 164)]"
11501,vi se strange latul oierilor....daca si basescu isi recunoaste vina...e clar ca meciul trebuie rejucat din min83....sa muriti de ciuda...ca am vb io cu jiji al vostru si iar o sa latre prin stefan cel mare sa ii da meciul...si noi pe acuns o sa-l futem in gura pe el si pe toti stelistii imputiti...,"['vi se strange latul oierilor', 'sa muriti de ciuda', 'o sa latre', 'o sa-l futem in gura', 'stelistii imputiti']","[(0, 28), (116, 134), (174, 184), (240, 260), (278, 296)]"
8865,"Bai inconstientule asa vb tu despre un om care s ia dat viata pe teren? cum nu stii cine a fost boule,faci numai misto si de Petre,dar tu stii ma sa pescuiesti?stii pe dracu sa te ia handicapatule,oltean cu 24 de masele in gura care mananci numai ceapa laminata(praz)handicapatul dracu ce esti,respecta ba boule ca sa fii respectat dar ce pretentii sa avem la voi care sunteti plini de ura si dusmanie in voi.boule.","['inconstientule', 'boule', 'oltean cu 24 de masele in gura care mananci numai ceapa laminata', 'handicapatul dracu', 'boule', 'boule', 'dracu sa te ia', 'handicapatule']","[(4, 18), (96, 101), (96, 101), (96, 101), (168, 182), (183, 196), (197, 261), (267, 285), (306, 311), (306, 311), (306, 311), (409, 414), (409, 414), (409, 414)]"
20468,"esti prost de dai in gropi butelie.
 vezi asta-i diferenta intre tine si un cioban: tu vrei sa fii lider acuma,iar ciobanu' vrea sa fie campion la vara.",['esti prost de dai in gropi'],"[(0, 26)]"
22333,dosok sa te fut in gura de kakat infect ce esti.Sunt clujean mortule da nu is ungur.si daca as fi nu mi-ar fi rusine.in primul rand u cred ca esti un cioban la fel ca becali si radoi si in al doilea rand cred ca ai fost nascut dintr-o greseala boule!!!Si referitor la Radoi ma suge-i un pic putza lui becali ca poate ajungi si u in viitor in mare oier.M.U.I.E tuturor oitelor si javrelor imputite.Lupta Rapid.Singuri impotriva tuturor!!!,"['sa te fut in gura de kakat infect', 'mortule', 'ai fost nascut dintr-o greseala boule', 'cioban', 'suge-i un pic putza', 'M.U.I.E tuturor oitelor si javrelor imputite']","[(6, 39), (61, 68), (150, 156), (212, 249), (277, 296), (352, 396)]"
27010,ba idiotilor luavar dracu de cretini daca va mai luati de carlos si raspunzandui idiotului de iuluan multor stelisti le oasa de carlos fiindca cu el a ajuns STEAUA in CHAMPIONS LEAGUE singura echipa romaneasca care a ajuns prin fortele ei nu ca altii pe spatele STELEI si tiganii sunt cey de la rapid si cei de la CFR CEA DEA DOUA ECHIPA CU BLATURI DUPA DINAMO CA PE AIA NUI POTI INTRECE NICI DACA AI FII STEAUA FORTZA STEAUAAAAA FORTZA STEAUAAAAAAAAAA,"['idiotilor', 'luavar dracu de cretini', 'idiotului', 'tiganii']","[(3, 12), (13, 36), (81, 90), (272, 279)]"
18340,sincer sa o futeti pe mata cacamas in gura de pishati,['sa o futeti pe mata cacamas in gura de pishati'],"[(7, 53)]"
17767,La urmatorul meci ma duc la steaoaia in galerie si arunc cu grenade in TEREN !!!!!!!,['arunc cu grenade'],"[(51, 67)]"
24195,cu tzzzigani si drogggati ca voi din pitesti ce sperante sa avem???,"['tzzzigani', 'drogggati']","[(3, 12), (16, 25)]"
14634,"Ce nu va e clar, ca Dinamo trebuie sa ia anul asta campionatul si sa joace si ei in Liga Campionilor? Nu fiti rai, ca trebuie si Borcea sa aiba o satisfactie, ca altfel, moare de inima rea. Isi musca degetele si acum ca i-a facut pe CFR campioni, bazandu-se ca anul asta CFR-ul cu Ando le va intoarce serviciul. Numai ca bozgorul e bozgor, s-a intarit cu banii din Liga si l-a dat afara pe Ando aducandu-l la disperare pe Borcica... Gigi stie si-l fierbe in suc propriu...",[' bozgorul e bozgor'],"[(320, 338)]"
11366,"asta e giulestiul.astia sunt romii.serios vorbesc va urasc tiganilor,mirositi o hoit.V-as sinistra p-o insula sa va mancati intre voi,romi murdari!Antonescu de era...","['va urasc tiganilor,mirositi o hoit', 'V-as sinistra p-o insula sa va mancati intre voi,romi murdari']","[(50, 84), (85, 146)]"
21257,"Ma intreb cine oare il respecta pe acest pitic bronzat tot anul (ca sa nu zic tiganos) si agramat, cu bani negri ca si el venit sa si-i spele ca mai toti in mocirla lui mitica
 
 HAI SICTIR !","['pitic bronzat', 'tiganos', 'agramat', 'mocirla lui mitica', 'SICTIR']","[(41, 54), (78, 85), (90, 97), (157, 175), (185, 191)]"
17267,"auzi bai tzarane , frustrata-i mamaaa ta care este zdreantzaaaa mea...pishamashh pe tine de cioaraaaaa ...","['tzarane', 'frustrata-i mamaaa ta care este zdreantzaaaa mea', 'pishamashh pe tine de cioaraaaaa']","[(9, 16), (19, 67), (70, 102)]"
22070,"Ba ce tot ziceti de cfr ca is unguri luami-ati pwla`n gura de mortii si de cretini retardati , bgami-as pwla in ei ungurii borATI , sa ii vad pe toti in sicriu doamne ajuta X(XX((X(X is din ardeal din cluj , da si noi uram ungurii , io`s cfr`ist si nu imi pasa de patron ca ii ungur sau nu atata timp cat baga banu` si aduce echipa din liga 3`a , deci tacetzi in mortii vostri de tampiti , CRUCIFICAREA TUTUROR UNGURILOR !!! HAI CFR CLUJ O ECHIPA FARA UNGURIIIII !!!!!","['luami-ati pwla`n gura de mortii si de cretini retardati ', 'bgami-as pwla in ei ungurii borATI', 'sa ii vad pe toti in sicriu', 'in mortii vostri de tampiti', 'CRUCIFICAREA TUTUROR UNGURILOR']","[(37, 93), (95, 129), (132, 159), (360, 387), (390, 420)]"
21757,Bai JAVRA ordinara ai uitat de cate ori ai fost tu ajutat de arbitri.Ar trebui sa-ti taie cineva limba aia de PORC puturos si tie si JAVREI de patron[nici nu ii pot pronunta numele.Dumnezeu nu doarme si o sa ajungeti ca si si cele mai mari JAVRE dinamovisti .HAI CRAIOVA. Decat voi mai bine STEAUA ca stie ce inseamna EUROPA.,"['JAVRA ordinara', 'sa-ti taie cineva limba aia de PORC puturos', 'JAVREI de patron', 'JAVRE']","[(4, 18), (79, 122), (133, 149), (240, 245)]"
40590,"CEEE BALAAAT URAT, F.M.M BECALI, F.M.M. PORUMBOIU, F.M.M. DORINEL- SCARBA, DEZGUST, VOMA, MIZERIE","['F.M.M', 'F.M.M.', 'F.M.M.', 'SCARBA', 'DEZGUST', 'VOMA', 'MIZERIE']","[(19, 24), (33, 39), (51, 57), (67, 73), (75, 82), (84, 88), (90, 97)]"
23975,"Adica la Iasi ai gasit niste idioti sa te bage in echipa ... ca valoare am vazut cata ai.
 
 Bulanul tau ca a fost namol la meciul cu Valencia si din greseala ai dat si tu doua goluri. Ca in rest, moldovean prost cu fizte in cap ... te-am vazut in Mall dupa meciul cu Valencia, mergeai cu o gaina de bratz de ziceai ca esti minim Zidane. FraEre, daca ramaneai cu picioarele pe pamant, poate ajungeai si tu o juma de atacant.
 
 Terminatule.","['idioti', 'moldovean prost cu fizte in cap', 'mergeai cu o gaina de bratz', 'FraEre', 'Terminatule']","[(29, 35), (199, 230), (280, 307), (340, 346), (432, 443)]"
16583,"ROSU DIRECT BAGA-MI-AS PULA IN MORTII MASII 
 
 fac cutremur cu epicentru in vrancea
 imi bag pula in masa lu DORSIN cum si-a bagat GIGI BECALI si voiculescu si oancea 
 
 futu`l in gura de spurcat tocmai a zis mircea sandu fara intrari urate mm de suedez borat","[' BAGA-MI-AS PULA IN MORTII MASII\\n', 'fac cutremur cu epicentru in vrancea', 'imi bag pula in masa', 'futu`l in gura de spurcat', 'mm de suedez borat']","[(11, 44), (48, 84), (86, 106), (172, 197), (243, 261)]"
25638,sint din mizil si tot ce pot sa zic e m.u.i.e steaua si mah p.i.s.h pe m.o.r.t.i lu lacatus si radoi,"['m.u.i.e ', 'mah p.i.s.h pe m.o.r.t.i lu lacatus']","[(38, 46), (56, 91)]"
19220,myadultcams.eu ARe dreptate marea glorie. rednic e o curva!!!!.. asta este,['curva'],"[(53, 58)]"
10528,"danone ... nu e vb de famagusta si elfsborg, e vb ekipele din liga 1 ...mai ales cfr care vrea in CL anu asta cu o ekipa de portughezi care nu au loc nici la Academica de Coimbra in campionatu' portughez. o sa ne faceti de kkt in europa bozgori imputiti",['o sa ne faceti de kkt in europa bozgori imputiti'],"[(205, 253)]"
24085,"bha cEfErE sau jErE dute la balamuc cu echipa ta de panarame,aveti galeria numai din surprize de la ouale kinder.o sa promovam noi si o sa va daramam malul gruia.galeria GAY numai la cEfErE!respect U sper sa pun si eu mana p un dvd.ramaneti in liga 1 si educativa gradinita din gruia.doar PETROLUL!!!!","['dute la balamuc cu echipa ta de panarame', 'o sa va daramam malul gruia', 'galeria GAY']","[(20, 60), (134, 161), (162, 173)]"
38959,asa Mutu sa moara stelisti de ciuda sa nu faca nici un punct in liga camp aratale la berbecuti lui ciobanu de becali,"['sa moara stelisti de ciuda', 'berbecuti lui ciobanu de becali']","[(9, 35), (85, 116)]"
43338,"de obicei dispretuiesc miscarile huliganice (asa zisii ultras) dar in acest caz sunt total de acord cu acesti suporteri. pacat ca sediul FRF este in Bucuresti, ar fi meritat sa fie vandalizat, poate cativa membri gen Kassai sau Sandu linsati.","['r fi meritat sa fie vandalizat,', 'poate cativa membri gen Kassai sau Sandu linsati']","[(161, 192), (193, 241)]"
24888,sugicocarul oagar prost ce esti. ciuciunghezii tai de la botugalia sunt pr0sti de put. Lupescu si cu sandu au castigat campionatul pt. voi bah oagar l4bagiu...,"['sugicocarul', 'oagar l4bagiu', 'oagar prost', 'ciuciunghezii', 'pr0sti de put', 'botugalia']","[(0, 11), (12, 23), (33, 46), (57, 66), (72, 85), (143, 156)]"
39490,"ploiestiul, timisoara, clujul, giulestiul, craiova, vasluiul si aradul isi baga pl in stoaia. asta reprezinta mai mult de 50% din suportul fotbalistic al romaniei. hehe. iar ati supt`o :D","['isi baga pl', 'ati supt`o']","[(71, 82), (174, 184)]"
24399,"Nea' Popicule....daca pleci in vara de la Iasi,jur ca te strag de gat...esti de 4 ani si ai facut cat nu au facut altii in 30 de ani.Sper din tot sufletul sa ramani inca vreo 10 ani macar....si daca stau bine sa ma gandesc poate prindem o UEFA...asa la misto...sa moara unii cu unghia in gat!!!!","['ca te strag de gat', 'sa moara unii cu unghia in gat']","[(51, 69), (261, 291)]"
43957,"trica, papagalule, steaua in 4 etape o sa aiba 7 puncte in fata voastra in mortzii matyyii de oltean jegos","['papagalule', 'mortzii matyyii de oltean jegos']","[(7, 17), (75, 106)]"
23569,Sunt mama lui suflet ros albastu si recunosc ca l-am pervresat sexual in repetate randuri.Acum el este un gay si s-o trage cu Argaseala.Multumesc,"['l-am pervresat sexual', 'el este un gay si s-o trage cu Argaseala']","[(48, 69), (95, 135)]"
23970,"Ce bai, va e ciuda ca sint un ratat ce vine pe forum sa se laude in fata romanilor cind e scuipat in gura de nemti?
 Uite ca eu m-am facut H/O/M/O in germania si e bine. O iau si astia au si vaselina.","['ratat', 'scuipat in gura', 'H/O/M/O', 'O iau si astia au si vaselina.']","[(30, 35), (90, 105), (140, 147), (171, 201)]"
37366,"Sunteti penibili cu promourile. Si de fiecare data nu scapati prilejul sa ziceti ca voi transmiteti meciu, de parca am fi un popor de handicapati care uita de la mana pana la gura. Jale tata!!!","['penibili', 'handicapati']","[(8, 16), (134, 145)]"
23969,"sa te ineci ca tiganu la mal nu are nici un merit,cu cea ce ai facut la euro ai dat dovada ca ne-am calificat doar din noroc.sa reusesti 2 din cele mai proaste meciuri de la euro e ceva,e un merit .",['sa te ineci ca tiganu la mal'],"[(0, 28)]"
37668,sa ma caca pe panko al vostru italiano ...care a jucat in divizia 3 italia la cesena mare valoare...da pentru voi este la cum vindeti meciuri,['sa ma caca pe panko'],"[(0, 19)]"
25939,"respect pt jucatorul ilie, dar ca om, toti cei care aleg sa fie sclavii ciobanului sunt ... nu zic nimic sa se considere ei ce vor, dar decizie corecta, inseamna ca esti un pic cam...",['sclavii ciobanului'],"[(64, 82)]"
24498,sa ma pish pe voi astia ce tot injuratzi boom....nu va place nu va bagatzi ce naighba. nu mai aveti voi somn daca boom cere 7 euro pe luna...cat dati pe cablu tampitilor ?,"['sa ma pish pe voi', 'ce naighba', 'tampitilor']","[(0, 17), (75, 85), (159, 169)]"
12987,"Respect pentru culoarea visinie. Toti ne dorim sa avem suflete curate si sa castigam pe gazon. Daca am da meciul CFR-ului, ar fi o lovitura extrem de dura pentru cioban si slugile lui viermanoase. Asta n-ar insemna sa ajutam Clujul, ci sa le radem in nas acestor marunte excremente de ovine. Oricum in campionat se aleg valorile dupa masura spagangiilor. Si apropo, PUNEM PARIU CA RAPID VA FI AVANTAJATA DE ARBITRU? INCREDIBIL, AM AJUNS SA VEDEM ASA CEVA! HALAL CAMPIONAT.","['cioban', 'slugile lui viermanoase', 'marunte excremente de ovine', 'spagangiilor']","[(162, 168), (172, 195), (263, 290), (341, 353)]"
44590,"cum se face ca rapid nu jaoca nimik?? blatu :))0 cum sa vb de steauya cand dinmao si rapid se dau la o parte sa castige unguri!!
 ORICUM vom fi campioni indiferent ca vau dat tigani meciu!!!!:))) ne doare la pula batem si stam la 2 puncte de voi!","['tigani', 'ne doare la pula']","[(176, 182), (197, 213)]"
38220,"fortza stiinta!!!!!!!!!!!!!!!!!!!!!!!
 
 anti caini , militari si tigaaaaaaaaani
 
 anti bu-cu-resti anti buuuuuuucuresti
 
 anti caini , militari si tigaaaaaaaaani","['anti caini , militari si tigaaaaaaaaani\\n', 'anti bu-cu-resti anti buuuuuuucuresti\\n', 'anti caini , militari si tigaaaaaaaaani']","[(41, 80), (84, 121), (125, 164)]"
12188,"Cum naiba are asta atata tupeu, cand el insusi nu e roman verde, ci o corcitura de macedonian si tigan. Si cel mai mare anticrestin din cati am vazut, ba mai mult, dracu' gol. Vade retro, satana !","['Cum naiba are asta atata tupeu', 'corcitura de macedonian si tigan', ""dracu' gol"", 'satana']","[(0, 30), (70, 102), (164, 174), (188, 194)]"
26860,desfiintati clubul ala cu nume sovietic! impuscati-i sa nu se mai chinuie!,[' impuscati-i sa nu se mai chinuie!'],"[(40, 74)]"
17712,BA HANDICAPATULE PLEACA DIN TARA ASTA CA NOI SUNTEM ROMANI,['HANDICAPATULE'],"[(3, 16)]"
34592,"sper ca v ati convins de marele jucator zicu, 'gameas pl in mortii si in familia lui de umflat arfist, afara fututi mortii in gura de chelios urat si gras, putoarea dracu.","["" 'gameas pl in mortii si in familia lui"", 'umflat arfist', 'fututi mortii in gura de chelios urat si gras, putoarea dracu']","[(45, 84), (88, 101), (109, 170)]"
26403,niste p`a`p`a`g`a`l`i!!nu niste oameni f`m`m`gsp k acu cenzurati si cacao!,"['p`a`p`a`g`a`l`i', 'f`m`m`', 'cacao']","[(6, 21), (39, 45), (68, 73)]"
